IMAGE          CREATED   CREATED BY   SIZE      COMMENT
4a51375c652b   N/A                    300B      store paths: ['/nix/store/qz4bannv2gz2dmswvyni4pvxfx2nnckd-devops-info-service-nix-customisation-layer']
<missing>      N/A                    4.24kB    store paths: ['/nix/store/1aywigi97zxn5hv5hlnvmmh2mrc3k6a1-devops-info-service-1.0.0']
<missing>      N/A                    1.58MB    store paths: ['/nix/store/3s53aywfl0dr45462ck13xi3a9pcp836-python3.13-fastapi-0.116.1']
<missing>      N/A                    5.44MB    store paths: ['/nix/store/5pw9qxdf5p3a6mfxfmn72i8yibbk40cx-python3.13-pydantic-2.11.7']
<missing>      N/A                    4.99MB    store paths: ['/nix/store/3gzx32bqnidawxx7pisvig4lwd10j0wh-python3.13-pydantic-core-2.33.2']
<missing>      N/A                    960kB     store paths: ['/nix/store/ldis6a9vpmbpswg6bmxrhgwm4dz4pzgf-python3.13-starlette-0.47.2']
<missing>      N/A                    1.69MB    store paths: ['/nix/store/gkfrf6jd44cw7ah3kw2f7dyyvjvfnga9-python3.13-anyio-4.11.0']
<missing>      N/A                    802kB     store paths: ['/nix/store/hzrz7530swz537prxl9r3r3hk8qnvbxg-python3.13-uvicorn-0.35.0']
<missing>      N/A                    1.23MB    store paths: ['/nix/store/mv1xhqpfbwimj5v4gfhs1aa79n1dkz7x-python3.13-click-8.2.1']
<missing>      N/A                    934kB     store paths: ['/nix/store/x90cc5wyf0l5nnqfkdbb9andwdjisg55-python3.13-idna-3.11']
<missing>      N/A                    125kB     store paths: ['/nix/store/b7wkvm7gwykn3bc1jx3ap1r0j0ffyjpg-python3.13-typing-inspection-0.4.2']
<missing>      N/A                    504kB     store paths: ['/nix/store/ck98197jsjn30qpvfnkwvy8p286dikxj-python3.13-typing-extensions-4.15.0']
<missing>      N/A                    267kB     store paths: ['/nix/store/pvrnhx220jf4mkkx594xhkxcdvbjq7rc-python3.13-h11-0.16.0']
<missing>      N/A                    102kB     store paths: ['/nix/store/dh4ka2nh4g5648sj5r2i51r4z80sm0ky-python3.13-annotated-types-0.7.0']
<missing>      N/A                    38.8kB    store paths: ['/nix/store/dg7bbbr8p7bqaj5av75k49yxgv5h35sl-python3.13-sniffio-1.3.1']
<missing>      N/A                    114MB     store paths: ['/nix/store/jzdlbnr23z8c05w0ss4ck91cwrgs48x0-python3-3.13.11']
<missing>      N/A                    9.81MB    store paths: ['/nix/store/b072105qs6av7xadbl69sn8xrqm09bgx-gcc-14.3.0-lib']
<missing>      N/A                    9.25MB    store paths: ['/nix/store/avdwa9rdrfhq29s7pnqr32iyfx82b5i3-openssl-3.6.1']
<missing>      N/A                    552kB     store paths: ['/nix/store/wnqpgc696j0pnmnpcivp30r03zasvi3s-readline-8.3p1']
<missing>      N/A                    3.62MB    store paths: ['/nix/store/pakvg593f6wgyjkr4cpxs9xfm4mshz5c-ncurses-6.5']
<missing>      N/A                    3.99MB    store paths: ['/nix/store/i00sbir59slrvb2wf709x5wd6hlfds57-sqlite-3.50.4']
<missing>      N/A                    4MB       store paths: ['/nix/store/4k7jxlgyjib8s3pkdp95rbl36r16qam4-bash-5.3p3']
<missing>      N/A                    2.38MB    store paths: ['/nix/store/iz38qzc06q4d7h1jnyma9s8picfcz8hj-util-linux-minimal-2.41.3-lib']
<missing>      N/A                    909kB     store paths: ['/nix/store/zb0djsfmmdzzl1caawg5jn3h3ppw01xd-xz-5.8.1']
<missing>      N/A                    555kB     store paths: ['/nix/store/agfznvh3zcpwgmzqmp2w6nfsyw0gjxdk-gdbm-1.26-lib']
<missing>      N/A                    311kB     store paths: ['/nix/store/gd29vxzc7v4l5l22iks6gmrq5kb5pqc3-expat-2.7.3']
<missing>      N/A                    287kB     store paths: ['/nix/store/hn851kd2jipicxyddb8xbbg63wl4kjdm-mpdecimal-4.0.1']
<missing>      N/A                    145kB     store paths: ['/nix/store/046lzpf3pxmv5mmvmlkf9vpcpqp0kmnm-zlib-1.3.1']
<missing>      N/A                    143kB     store paths: ['/nix/store/6gk117wh5nymmvz2azhbfds80f7403jq-libffi-3.5.2']
<missing>      N/A                    76.7kB    store paths: ['/nix/store/3mq0snz6k3z8n0f43prps9i9lkd58xag-bzip2-1.0.8']
<missing>      N/A                    41.5MB    store paths: ['/nix/store/86wgxj5p9yry03cg7czian66bvz1r1bj-glibc-2.40-218']
<missing>      N/A                    359kB     store paths: ['/nix/store/fdy9f9amsb4c7qgvq5ifsk923p8sd3w5-libidn2-2.3.8']
<missing>      N/A                    1.9MB     store paths: ['/nix/store/4jj5z82fqisvr0b4nx76g31rkxpdwyan-tzdata-2025c']
<missing>      N/A                    2.13MB    store paths: ['/nix/store/qmgi5gdgg4vf1lhshlwsr3i5hpsk8w4a-libunistring-1.4.1']
<missing>      N/A                    153kB     store paths: ['/nix/store/nr3snpsrc4nb946zcacw8y9knryiw5zi-gcc-14.3.0-libgcc']
<missing>      N/A                    153kB     store paths: ['/nix/store/7yd21750d8mfw2ycsp2fiifa4l4wsscp-xgcc-14.3.0-libgcc']
<missing>      N/A                    118kB     store paths: ['/nix/store/lzv4hg27ylcvac5dqkdzr4cibzfy9p6s-mailcap-2.1.54']
